,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
520,MTH 286 DISCRETE MATHEMATICS,Description not found,,,
521,MTH 287 MATHEMATICAL STRUCTURES,Description not found,,,
522,MTH 288 DISCRETE MATHEMATICS,"Presents topics in sets, counting, graphs, logic, proofs, functions, relations, mathematical induction, Boolean Algebra, and recurrence relations.",,,
523,MTH 289 DIFFERENTIAL EQUATIONS EXTENDED,"Presents systems of differential equations, power series solutions, Fourier series, Laplace transform and Fourier transform, partial differential equations, and boundary value problems. Designed as math elective course for mathematical, physical, and engineering science programs.",MATH 302,Ordinary Differential Equations,"Prerequisite(s): ( MATH 211 or MATH 210 ) and ( MATH 212 or MATH 213 ). First-order separable, linear, and nonlinear differential equations. First-order systems and forced second-order linear equations. Systems of linear equations and linearization. Numerical methods, bifurcations, and qualitative analysis. Applications to biology, chemistry, economics, physics, and social sciences."
524,MTH 291 DIFFERENTIAL EQUATIONS,Description not found,,,
525,MTH 292 TOPICS IN DIFFERENTIAL EQUATIONS,Description not found,MATH 302,Ordinary Differential Equations,"Prerequisite(s): ( MATH 211 or MATH 210 ) and ( MATH 212 or MATH 213 ). First-order separable, linear, and nonlinear differential equations. First-order systems and forced second-order linear equations. Systems of linear equations and linearization. Numerical methods, bifurcations, and qualitative analysis. Applications to biology, chemistry, economics, physics, and social sciences."
526,MTH 293 STUDIES IN,Covers new content not covered in existing courses in the discipline. Allows instructor to explore content and instructional methods to assess the course's viability as a permanent offering.,,,
527,MTH 295 TOPICS IN,Provides an opportunity to explore topical areas of interest to or needed by students.,,,
528,MSC 101 THE FOUNDATIONS OF THE AIRFORCE,"Provides an introduction to the United States Air Force and Air Force Reserve Officers' Training Corps. Includes the mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. [PVCC Students will take AIRS classes at the University of Virginia for PVCC credit.] Part I of II.",MLSC 101,Leadership and Personal Development,"Introduces students to issues and competencies that are central to a commissioned officerâs responsibilities. These initial lessons establish a framework for understanding officership, leadership, and Army values. Additionally, the semester addresses life skillsâ including fitness and time management. The MLSC 101 course is designed to support recruiting and retention of cadets by giving them accurate insight into the Army Profession and the officerâs role in the Army."
529,MSC 102 THE FOUNDATIONS OF THE AIRFORCE,"Provides an introduction to the United States Air Force and Air Force Reserve Officers' Training Corps. Includes the mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. [PVCC Students will take AIRS classes at the University of Virginia for PVCC credit.] Part II of II.",MLSC 102,Introduction to Tactical Leadership,"MLSC 102 overviews leadership fundamentals such as setting direction, problem-solving, listening, presenting briefs, providing feedback, and using effective writing skills. You will explore dimensions of leadership values, attributes, skills, and actions in the context of practical, hands-on, and interactive exercises."
530,MSC 111 MILITARY SCIENCE I,"Covers the first year of general military science: organization of the army and ROTC, U.S. Army and national security, individual weapons, marksmanship, and leadership laboratory. Courses offered only in cooperation with four- year colleges authorized to offer Army ROTC programs.  Part I of II.",MLSC 101,Leadership and Personal Development,"Introduces students to issues and competencies that are central to a commissioned officerâs responsibilities. These initial lessons establish a framework for understanding officership, leadership, and Army values. Additionally, the semester addresses life skillsâ including fitness and time management. The MLSC 101 course is designed to support recruiting and retention of cadets by giving them accurate insight into the Army Profession and the officerâs role in the Army."
531,MSC 112 MILITARY SCIENCE II,"Covers the first year of general military science: organization of the army and ROTC, U.S. Army and national security, individual weapons, marksmanship, and leadership laboratory. Courses offered only in cooperation with four- year colleges authorized to offer Army ROTC programs.  Part II of II.",MLSC 102,Introduction to Tactical Leadership,"MLSC 102 overviews leadership fundamentals such as setting direction, problem-solving, listening, presenting briefs, providing feedback, and using effective writing skills. You will explore dimensions of leadership values, attributes, skills, and actions in the context of practical, hands-on, and interactive exercises."
532,MSC 201 THE EVOLUTION OF AIR & SPACE POWER,"Examines general aspects of air and space power through a historical perspective. Covers a time period from the first balloons and dirigibles to the use of Unmanned Aerial Vehicles in today's technologically advanced Air Force. Historical examples serve to extrapolate the development of Air Force capabilities (competencies) and missions (functions) to demonstrate the evolution of what has become today's USAF air and space power. Examines several fundamental truths associated with war in the third dimension; e.g. Principles of War and Tenets of Air and Space Power. Provides a knowledge-level understanding for the general element and employment of air and space power from an institutional, doctrinal, and historical perspective. Continues a discussion of the importance of the Air Force Core Values through use of operational examples and historical Air Force leaders and develops cadets' communication skills. Part I of II.",MLSC 201,Innovative Team Leadership,"This course explores the dimensions of creative and innovative tactical leadership strategies and styles by examining team dynamics and two historical leadership theories that form the basis of the Army leadership framework. Aspects of personal motivation and team building are practiced planning, executing and assessing team exercises and participating in leadership labs. The focus continues to build on developing knowledge of the leadership values and attributes through understanding Army rank, structure, and duties as well as broadening knowledge of land navigation and squad tactics. Case studies will provide a tangible context for learning the Soldierâs Creed and Warrior Ethos as they apply in the contemporary operating environment."
